Unnamed: 0_x,State,County,Population_x,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Unnamed: 0_y,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment,Zipcode,Population_y,Unemployment Rate,% of Pop with no education,Latitude,Longitude
34,IL,Alexander,8238,6823.847475,5817.6834850000005,3208.796822,0.0,613,2291.0,2081.0,210.0,9.0,,,,,,
35,NC,Alexander,37198,35480.24222,31707.046130000002,61.00959633,0.0,1928,17539.0,16675.0,864.0,5.0,,,,,,
36,VA,Alexandria,139966,31562.913010000004,0.0,0.0,0.0,2965,94154.0,91055.0,3099.0,3.0,,,,,,
37,OK,Alfalfa,5642,5310.26274,4362.443381,3429.267964,0.0,2172,3164.0,3070.0,94.0,3.0,,,,,,
38,MI,Alger,9601,8179.6891049999995,7629.074538,3335.69165,868.7945308000001,1258,3223.0,2949.0,274.0,9.0,,,,,,
39,IA,Allamakee,14330,11873.96317,9511.876189,1295.0949130000001,0.0,810,7703.0,7325.0,378.0,5.0,,,,,,
40,MI,Allegan,111408,97833.51055,77907.0535,298.879756,0.0,1259,60372.0,57870.0,2502.0,4.0,,,,,,
41,MD,Allegany,75087,63802.28547,49682.90208,1132.6148699999999,0.0,1217,32391.0,30133.0,2258.0,7.0,,,,,,
42,NY,Allegany,48946,42291.47777,38070.8379,173.6000983,0.0,1865,20458.0,19129.0,1329.0,7.0,,,,,,
43,NC,Alleghany,11155,10061.12325,8993.258943,402.74373149999997,0.0,1929,4466.0,4192.0,274.0,6.0,,,,,,
44,VA,Alleghany,16250,13657.87896,11030.360059999999,341.7653335,0.0,2872,7048.0,6691.0,357.0,5.0,,,,,,
45,PA,Allegheny,1223348,897174.4879,396959.4487,0.0,0.0,2287,647492.0,615407.0,32085.0,5.0,,,,,,
46,IN,Allen,355329,293907.9114,180456.7852,1221.307321,0.0,716,178025.0,169826.0,8199.0,5.0,,,,,,
47,KS,Allen,13371,12065.33662,9308.223897,1636.30933,0.0,908,6606.0,6268.0,338.0,5.0,,,,,,
48,KY,Allen,19956,17417.393480000002,15432.37288,246.23747090000003,0.0,1015,8589.0,8168.0,421.0,5.0,,,,,,
49,LA,Allen,25764,23221.09942,19285.33294,5938.743355,0.0,1136,8839.0,8224.0,615.0,7.0,,,,,,
50,OH,Allen,106331,84954.37696000001,49774.66164,0.0,0.0,2083,47839.0,45520.0,2319.0,5.0,,,,,,
51,SC,Allendale,10419,7229.185495000001,4775.926596,205.52998269999998,0.0,2362,2748.0,2438.0,310.0,11.0,,,,,,
52,MI,Alpena,29598,24551.26495,15312.6534,1464.985608,0.0,1260,13593.0,12746.0,847.0,6.0,,,,,,
53,CA,Alpine,1175,1174.999992,1174.999992,652.5959351,121.0000001,196,546.0,506.0,40.0,7.0,,,,,,
54,CA,Amador,38091,33136.76141,25533.347380000003,62.55208411,0.0,197,14343.0,13396.0,947.0,7.0,,,,,,
55,VA,Amelia,12690,12633.17253,12430.45156,1854.673934,0.0,2873,6191.0,5914.0,277.0,5.0,,,,,,
56,VA,Amherst,32353,30096.4312,25298.89628,402.2669646,0.0,2874,15279.0,14549.0,730.0,5.0,,,,,,
57,MS,Amite,13131,12741.09922,12177.16937,2391.52459,0.0,1431,4515.0,4173.0,342.0,8.0,,,,,,
58,AK,Anchorage,291826,218933.2758,103748.7923,299.59502319999996,12.71887932,72,157011.0,149082.0,7929.0,5.0,,,,,,
