,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State
2675,Stanley,504.93461179999997,633.5827928,173.1532453,106.2564851,2966,SD
2676,Stanly,13594.23196,18349.2896,0.0,0.0,60585,NC
2677,Stanton,285.13576639999997,467.6618945,90.93042959,0.0,2235,KS
2678,Stanton,1994.0436710000001,1994.0436710000001,1238.222731,0.0,6129,NE
2679,Stark,1822.2385420000003,1822.2385420000003,584.2845694,0.0,5994,IL
2680,Stark,2763.020078,5079.325962,1069.672176,358.6503288,24199,ND
2681,Stark,39489.98236,83509.56017000001,0.0,0.0,375586,OH
2682,Starke,7253.490685,9196.58745,37.1917732,0.0,23363,IN
2683,Starr,31004.512000000002,35953.91708,1308.8095230000001,557.5933267999999,60968,TX
2684,Staunton,691.2301029,5644.976914,0.0,0.0,23746,VA
2685,Ste. Genevieve,4081.5625090000003,4896.913575,1326.554467,0.0,18145,MO
2686,Stearns,19587.40452,34781.713789999994,1259.001761,0.0,150642,MN
2687,Steele,3959.729482,7361.919815,14.00411433,0.0,36576,MN
2688,Steele,580.9898542999999,580.9898542999999,563.46903,108.89145359999999,1975,ND
2689,Stephens,8406.115731,10609.487579999999,0.0,0.0,26175,GA
2690,Stephens,6485.4684130000005,11646.45896,1016.4497880000001,1.728679008,45048,OK
2691,Stephens,2416.271635,3645.3429479999995,243.95724469999996,0.0,9630,TX
2692,Stephenson,5749.236334,10752.039420000001,124.66956029999999,0.0,47711,IL
2693,Sterling,437.3217398,437.3217398,437.3217398,437.25974569999994,1143,TX
2694,Steuben,7878.435087999999,8813.529862000001,154.68240830000002,0.0,34185,IN
2695,Steuben,20916.98673,28248.1111,875.4781041000001,0.0,98990,NY
2696,Stevens,711.5774903,1149.4676539999998,416.8295086,0.0,5724,KS
2697,Stevens,1300.487018,2133.293636,273.9152053,0.0,9726,MN
2698,Stevens,12265.55865,14149.33937,4894.520276,765.1735888,43531,WA
2699,Stewart,2219.807406,2592.3661690000004,407.8526212,0.0,6058,GA
2700,Stewart,5353.468790999999,5511.278165,694.6157226,0.0,13324,TN
2701,Stillwater,1372.649248,1596.7505019999999,529.2932556,155.68926000000002,9117,MT
2702,Stoddard,6164.7993369999995,9977.827542,91.06500294,0.0,29968,MO
2703,Stokes,13441.4415,15027.55467,804.3257653,0.0,47401,NC
2704,Stone,5470.557765,6048.582796,1531.844747,0.0,12394,AR
2705,Stone,10474.18658,11454.13595,102.4168797,0.0,32202,MO
2706,Stone,5707.987286,6342.992578,966.1473156999999,0.0,17786,MS
2707,Stonewall,145.3696697,313.9462481,61.25147425,0.037059312000000004,1490,TX
2708,Storey,866.6965039999999,866.6965039999999,8.122769359,0.0,4010,NV
2709,Story,11027.866170000001,23685.63485,335.9933787,0.0,89542,IA
2710,Strafford,16947.57303,21697.227730000002,0.0,0.0,123143,NH
2711,Stutsman,3071.937739,5006.334135,964.3213007999999,482.02838710000003,21100,ND
2712,Sublette,1485.314684,1723.1449879999998,429.6793591,128.4763443,10247,WY
2713,Suffolk,6621.948111,68100.41708,0.0,0.0,722023,MA
2714,Suffolk,71495.79139,168641.2051,0.0,0.0,1493350,NY
2715,Suffolk,6694.850789,13344.964109999999,3.077200615,0.0,84585,VA
2716,Sullivan,5296.706559,6197.760731,140.05080900000002,0.0,21475,IN
2717,Sullivan,2358.517089,3109.409463,937.3691017000001,0.0,6714,MO
2718,Sullivan,7626.948665000001,10056.23213,276.6598268,0.0,43742,NH
2719,Sullivan,22152.35824,25824.386280000002,162.0203064,0.0,77547,NY
2720,Sullivan,2272.884381,2388.573069,871.6099868999999,0.0,6428,PA
2721,Sullivan,37294.94658,51563.41283,3.891496239,0.0,156823,TN
2722,Sully,316.9866499,316.9866499,316.9866499,280.9913648,1373,SD
2723,Summers,5154.245969,5815.344653,442.20065430000005,0.0,13927,WV
2724,Summit,3463.188436,4768.106911,93.72688521,0.0034711440000000002,27994,CO
2725,Summit,49738.84169,120424.2624,0.0,0.0,541781,OH
2726,Summit,4079.4447880000002,5541.710436,836.5181142000001,42.63062585,36324,UT
2727,Sumner,3963.9536020000005,5505.488463000001,1382.166962,0.0,24132,KS
2728,Sumner,24876.05636,36222.39581,0.0,0.0,160645,TN
2729,Sumter,5380.25576,7038.311312000001,1455.96527,3.340577441,13763,AL
2730,Sumter,15652.993369999998,20341.79542,78.5771686,0.0,93420,FL
2731,Sumter,10503.198409999999,14205.05345,30.86285949,0.0,32819,GA
2732,Sumter,30655.569180000002,41311.56713,421.1278131,0.0,107456,SC
2733,Sunflower,12043.68129,15568.89181,262.9269611,0.0,29450,MS
2734,Surry,22155.33744,27063.097939999996,148.648272,0.0,73673,NC
2735,Surry,2093.380193,2093.380193,468.4058437,0.0,7058,VA
2736,Susquehanna,11715.49925,13451.07379,315.138609,0.0,43356,PA
2737,Sussex,40041.59651,50857.48717,0.0,0.0,197145,DE
2738,Sussex,14138.07347,17366.98676,0.0,0.0,149265,NJ
2739,Sussex,3940.712032,4581.191453,1472.346959,0.0,12087,VA
2740,Sutter,13571.520669999998,25915.69442,429.69109789999993,0.0,94737,CA
2741,Sutton,361.1826062,867.4885499,108.7579067,44.58610653,4128,TX
2742,Suwannee,14604.844869999999,16623.143509999998,2217.6762280000003,0.0,41551,FL
2743,Swain,5400.757947,5816.304115999999,384.3275255,0.0,13981,NC
2744,Sweet Grass,717.9280337,831.4810783,315.692315,46.29607381,3651,MT
2745,Sweetwater,3593.2662689999997,6460.712693,376.2384245,315.6284013,43806,WY
2746,Swift,1938.316178,2306.30558,1478.642876,1.053904365,9783,MN
2747,Swisher,1194.819826,2255.8133390000003,674.1863387,0.0,7854,TX
2748,Switzerland,3013.846296,3282.3257129999997,157.00246830000003,0.0,10613,IN
2749,Talbot,2847.754925,3168.92058,175.2906885,0.0,6865,GA
2750,Talbot,3969.907021,5153.725522,0.0,0.0,37782,MD
