1 Mile,1/2 Mile,10 Miles,20 Miles,Children.1 Mile,Children.1/2 Mile,Children.10 Miles,Children.20 Miles,County,Low Access Only.1 and 20 Miles,Low Access Only.1/2 and 10 Miles,Low Income People.1 Mile,Low Income People.1/2 Mile,Low Income People.10 Miles,Low Income People.20 Miles,Low Income and Low Access.1 and 20 Miles,Low Income and Low Access.1/2 and 10 Miles,People.1 Mile,People.1/2 Mile,People.10 Miles,People.20 Miles,Population,Residing in Group Quarters,Rural Housing Percentage,Seniors.1 Mile,Seniors.1/2 Mile,Seniors.10 Miles,Seniors.20 Miles,State,Total Housing Units,Urban Housing Percentage
73.25847889,88.152342,36.87208627,0,1194.973362,1333.010039,627.2229498,0,Antelope,0,0.666666667,2001.85361,2254.870913,1052.688948,0,0,0.666666667,5018.389985,5684.208789,2759.894401,0,6685,70,1,1011.531364,1197.519916,616.4874972,0,NE,2841,0
263.8091645,367.122021,1.256035115,0,3620.770038,4369.007172,22.03058529,0,Antrim,0,0,6265.809549,7871.042893,32.25958462,0,0,0,17595.44067,21135.33584,71.46243672,0,23580,226,1,3962.880151,4751.712058,6.054874883,0,MI,9890,0
2717.87679,2853.205986,2121.261661,1496.283023,19164.07671,21205.07806,13023.04488,9058.762543,Apache,0.5625,0.75,39056.44592,42153.08356,28795.75796,19603.64726,0.5,0.5625,61227.02211,67404.7773,41849.96334,27391.51484,71518,941,0.9375,7124.772944,7844.556227,5202.584905,3040.139408,AZ,22771,0.0625
149.1085861,220.6197759,30.73994063,0,1705.391541,2170.08279,352.3909586,0,Appanoose,0.2,0.6,3266.778938,4132.739978,718.4156554,0,0.2,0.6,7649.977701,9652.739186,1728.156754,0,12887,126,0.6,1573.599528,1962.552477,390.4436093,0,IA,5627,0.4
325.417728,415.2893798,43.90915509,0,3688.762245,4197.053784,538.1576714,0,Appling,0.4,0.8,5847.372039,6748.150171,709.9637421,0,0.4,0.4,14598.18846,16467.86362,2407.189967,0,18236,426,0.6,1885.88645,2142.010764,387.9710947,0,GA,6969,0.4
367.1186273,438.6676053,11.85036337,0,2760.043016,3097.678158,74.76766714,0,Appomattox,0,0,3867.730978,4413.989806,112.5112934,0,0,0,12384.02661,13974.77833,444.6586282,0,14973,56,1,2087.505417,2424.899711,104.6992519,0,VA,6033,0
546.7554463,620.2197722,0.182371036,0,3740.872836,4307.722723,0.008805475,0,Aransas,0.4,0.6,7549.650647,8600.689961,0.990778309,0,0.2,0.2,18181.88213,21597.58604,3.234965829,0,23158,459,0.4,3965.393364,5022.499098,1.899187804,0,TX,9795,0.6
1516.448,6426.141969,29.39554772,0.179266254,36319.94157,101721.501,292.4201135,1.099169143,Arapahoe,0.360544218,0.904761905,24873.53718,92322.68399,274.3204977,1.307313694,0.088435374,0.333333333,133928.4956,389809.4714,1172.568972,4.571325663,572003,4920,0.040816327,12519.7305,39034.70631,143.2751824,0.338288353,CO,224011,0.959183673
79.73319599,97.51872072,15.62125708,0.020055578,1773.891389,1978.158049,352.7596667,0.330917045,Archer,0,0.666666667,1829.575953,2216.238234,445.397216,0.453212462,0,0,7352.387685,8199.726662,1466.399302,1.489126681,9054,56,1,1136.505919,1302.904679,256.8973791,0.165458523,TX,3538,0
75.92372942,95.82948195,12.87803134,0.024428179,1747.612448,2106.985754,182.5971299,0.056140407,Archuleta,0.25,0.5,2716.375276,3239.899947,353.7728586,0.201173046,0,0,9054.77631,10857.37327,1163.678058,1.314497187,12084,129,0.75,1554.534232,1918.082559,243.655442,0.3928993,CO,5267,0.25
